country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Papua New Guinea,60.9,,,,,52.1,,,,,44.2,42.6,41.2,39.8,38.8,37.4,36.3
Paraguay,30.8,,,,,23.6,,,,,18.3,17.3,16.5,15.6,14.9,14.1,13.4
Peru,12.1,,,,,9,,,,,6.7,6.3,6,5.7,5.4,5,4.8
Philippines,34.4,,,,,30.6,,,,,27.6,27,26.5,25.9,25.3,24.7,24.3
Poland,40.7,,,,,36,,,,,31.9,31.3,30.6,30,29.2,28.6,28
Portugal,25.9,,,,,24.8,,,,,23.7,23.5,23.3,23.1,23,22.9,22.7
Qatar,16.5,,,,,17.4,,,,,20.1,20.3,20.2,20.3,20.4,20.4,20.6
Romania,39.6,,,,,36,,,,,32.8,32.3,31.7,31.1,30.6,30.1,29.7
Russia,42.8,,,,,41.5,,,,,40.3,40.2,40.1,39.8,39.7,39.5,39.3
Rwanda,17.8,,,,,15.7,,,,,13.9,13.7,13.3,13.1,12.8,12.5,12.3
Samoa,45.1,,,,,38.5,,,,,33,32,31,30.2,29.4,28.5,27.7
Saudi Arabia,14.5,,,,,14.6,,,,,15.1,15.3,15.2,15.3,15.5,15.6,15.6
Senegal,10.9,,,,,9.9,,,,,9,8.8,8.7,8.5,8.4,8.3,8.2
Serbia,48.7,,,,,45.3,,,,,42.1,41.7,40.9,40.4,40,39.4,38.9
Seychelles,25.1,,,,,23.9,,,,,22.9,22.7,22.5,22.3,21.9,21.7,21.5
Sierra Leone,42.2,,,,,34.9,,,,,29.4,28.6,27.6,26.9,26.3,25.4,24.8
Singapore,16.3,,,,,16.3,,,,,16.4,16.4,16.3,16.5,16.5,16.5,16.5
Slovak Republic,32.1,,,,,31.2,,,,,30.4,30.4,30.3,30.1,30.1,30.1,30.1
Slovenia,26.8,,,,,25.3,,,,,24,23.9,23.5,23.3,23,22.8,22.5
South Africa,22.7,,,,,21.8,,,,,21,20.9,20.8,20.6,20.5,20.5,20.3
South Korea,34.3,,,,,30.2,,,,,26.9,26.2,25.6,25,24.5,23.9,23.3
Spain,39.5,,,,,35.8,,,,,32.7,32.1,31.5,30.9,30.4,29.7,29.3
Sri Lanka,16.5,,,,,15.2,,,,,14,13.8,13.6,13.5,13.2,13.2,13
Suriname,50,,,,,41.3,,,,,33.1,31.5,30.1,28.7,27.5,26.2,25
Swaziland,9.3,,,,,9.1,,,,,9,9,9,9,9,9,9
Sweden,32.3,,,,,27.4,,,,,23.1,22.3,21.6,20.9,20.1,19.5,18.8
Switzerland,31.2,,,,,29.2,,,,,27.7,27.2,27,26.7,26.3,26.1,25.7
Tanzania,22.3,,,,,19.5,,,,,17.1,16.6,16.2,15.9,15.4,15.2,14.8
Thailand,24.9,,,,,23.2,,,,,21.7,21.3,21,20.8,20.6,20.1,19.9
Timor-Leste,51.8,,,,,49.7,,,,,46.8,46,45.2,44.6,44.1,43.2,42.6
Togo,10,,,,,8.9,,,,,8.1,8,7.8,7.7,7.6,7.4,7.4
Tonga,36.3,,,,,33,,,,,30.3,29.9,29.4,29.1,28.6,28.3,27.9
Tunisia,31.8,,,,,31.1,,,,,31.7,31.8,31.9,32.1,32.4,32.6,32.7
Turkey,38.4,,,,,34.4,,,,,30.8,30.2,29.5,29,28.4,27.7,27.2
Uganda,17.1,,,,,14.4,,,,,12.2,11.8,11.4,11,10.7,10.3,10
Ukraine,36,,,,,33.6,,,,,31.4,31,30.6,30.2,29.8,29.4,28.9
United Arab Emirates,25.2,,,,,26.3,,,,,28.2,28.2,28.5,28.6,28.6,28.6,28.9
United Kingdom,38.2,,,,,32.3,,,,,27.2,26.3,25.5,24.6,23.7,23.1,22.3
United States,31.4,,,,,27.9,,,,,24.8,24.3,23.9,23.3,22.8,22.3,21.8
Uruguay,52.7,,,,,36.7,,,,,25.7,23.9,22.3,20.8,19.3,18.1,16.8
Uzbekistan,15.8,,,,,14.6,,,,,13.7,13.5,13.3,13.2,13,12.8,12.6
Vanuatu,31.9,,,,,26.9,,,,,22.4,21.7,21.1,20.4,19.8,19.2,18.6
Vietnam,25.1,,,,,24.3,,,,,23.7,23.4,23.5,23.2,23.1,23.1,22.8
Yemen,23.3,,,,,21.4,,,,,19.9,19.6,19.5,19,18.9,18.7,18.4
Zambia,18,,,,,16.6,,,,,15.2,14.9,14.7,14.4,14.3,14,13.8
Zimbabwe,18,,,,,17.1,,,,,16.4,16.4,16.2,16.1,16,15.9,15.8
